Id,Id2,Geography,Estimate; Median household income in the past 12 months (in 2017 inflation-adjusted dollars),Margin of Error; Median household income in the past 12 months (in 2017 inflation-adjusted dollars)
1500000US250010116001,250010116001,"Block Group 1, Census Tract 116, Barnstable County, Massachusetts",49265,12852
1500000US250010116002,250010116002,"Block Group 2, Census Tract 116, Barnstable County, Massachusetts",27500,23579
1500000US250010116003,250010116003,"Block Group 3, Census Tract 116, Barnstable County, Massachusetts",43603,16226
1500000US250010117001,250010117001,"Block Group 1, Census Tract 117, Barnstable County, Massachusetts",64018,18722
1500000US250010117002,250010117002,"Block Group 2, Census Tract 117, Barnstable County, Massachusetts",83250,20718
1500000US250010117003,250010117003,"Block Group 3, Census Tract 117, Barnstable County, Massachusetts",59375,20377
1500000US250010118011,250010118011,"Block Group 1, Census Tract 118.01, Barnstable County, Massachusetts",56293,10224
1500000US250010118012,250010118012,"Block Group 2, Census Tract 118.01, Barnstable County, Massachusetts",82207,8959
1500000US250010118021,250010118021,"Block Group 1, Census Tract 118.02, Barnstable County, Massachusetts",111016,26657
1500000US250010118022,250010118022,"Block Group 2, Census Tract 118.02, Barnstable County, Massachusetts",68676,22982
1500000US250010118023,250010118023,"Block Group 3, Census Tract 118.02, Barnstable County, Massachusetts",59519,9354
1500000US250010118024,250010118024,"Block Group 4, Census Tract 118.02, Barnstable County, Massachusetts",60972,16400
1500000US250010120011,250010120011,"Block Group 1, Census Tract 120.01, Barnstable County, Massachusetts",59583,25326
1500000US250010120012,250010120012,"Block Group 2, Census Tract 120.01, Barnstable County, Massachusetts",55800,10105
1500000US250010120013,250010120013,"Block Group 3, Census Tract 120.01, Barnstable County, Massachusetts",66786,19015
1500000US250010120014,250010120014,"Block Group 4, Census Tract 120.01, Barnstable County, Massachusetts",58077,6674
1500000US250010120021,250010120021,"Block Group 1, Census Tract 120.02, Barnstable County, Massachusetts",34375,19997
1500000US250010120022,250010120022,"Block Group 2, Census Tract 120.02, Barnstable County, Massachusetts",75017,28626
1500000US250010120023,250010120023,"Block Group 3, Census Tract 120.02, Barnstable County, Massachusetts",56202,9037
1500000US250010121011,250010121011,"Block Group 1, Census Tract 121.01, Barnstable County, Massachusetts",80433,11844
1500000US250010121012,250010121012,"Block Group 2, Census Tract 121.01, Barnstable County, Massachusetts",82031,43061
1500000US250010121013,250010121013,"Block Group 3, Census Tract 121.01, Barnstable County, Massachusetts",58059,11999
1500000US250010121014,250010121014,"Block Group 4, Census Tract 121.01, Barnstable County, Massachusetts",73530,13894
1500000US250010121015,250010121015,"Block Group 5, Census Tract 121.01, Barnstable County, Massachusetts",-,**
1500000US250010121021,250010121021,"Block Group 1, Census Tract 121.02, Barnstable County, Massachusetts",67344,10394
1500000US250010121022,250010121022,"Block Group 2, Census Tract 121.02, Barnstable County, Massachusetts",69205,58996
1500000US250010121023,250010121023,"Block Group 3, Census Tract 121.02, Barnstable County, Massachusetts",72438,15467
1500000US250010121024,250010121024,"Block Group 4, Census Tract 121.02, Barnstable County, Massachusetts",48000,18594
1500000US250010122001,250010122001,"Block Group 1, Census Tract 122, Barnstable County, Massachusetts",101065,15798
1500000US250010122002,250010122002,"Block Group 2, Census Tract 122, Barnstable County, Massachusetts",124844,25179
1500000US250010122003,250010122003,"Block Group 3, Census Tract 122, Barnstable County, Massachusetts",98323,14628
1500000US250010122004,250010122004,"Block Group 4, Census Tract 122, Barnstable County, Massachusetts",70845,35355
1500000US250010125021,250010125021,"Block Group 1, Census Tract 125.02, Barnstable County, Massachusetts",80208,18882
1500000US250010125022,250010125022,"Block Group 2, Census Tract 125.02, Barnstable County, Massachusetts",57574,20212
1500000US250010125023,250010125023,"Block Group 3, Census Tract 125.02, Barnstable County, Massachusetts",57150,9980
1500000US250010125024,250010125024,"Block Group 4, Census Tract 125.02, Barnstable County, Massachusetts",51887,16068
1500000US250010126011,250010126011,"Block Group 1, Census Tract 126.01, Barnstable County, Massachusetts",58611,17858
1500000US250010126012,250010126012,"Block Group 2, Census Tract 126.01, Barnstable County, Massachusetts",72222,16799
1500000US250010126021,250010126021,"Block Group 1, Census Tract 126.02, Barnstable County, Massachusetts",66557,24865
1500000US250010126022,250010126022,"Block Group 2, Census Tract 126.02, Barnstable County, Massachusetts",33472,27441
1500000US250010126023,250010126023,"Block Group 3, Census Tract 126.02, Barnstable County, Massachusetts",45517,9051
1500000US250010126024,250010126024,"Block Group 4, Census Tract 126.02, Barnstable County, Massachusetts",34896,24451
1500000US250010127001,250010127001,"Block Group 1, Census Tract 127, Barnstable County, Massachusetts",94539,14520
1500000US250010127002,250010127002,"Block Group 2, Census Tract 127, Barnstable County, Massachusetts",60667,31055
1500000US250010127003,250010127003,"Block Group 3, Census Tract 127, Barnstable County, Massachusetts",100313,38684
1500000US250010127004,250010127004,"Block Group 4, Census Tract 127, Barnstable County, Massachusetts",72875,19852
1500000US250010128001,250010128001,"Block Group 1, Census Tract 128, Barnstable County, Massachusetts",52378,14208
1500000US250010128002,250010128002,"Block Group 2, Census Tract 128, Barnstable County, Massachusetts",61563,10558
1500000US250010128003,250010128003,"Block Group 3, Census Tract 128, Barnstable County, Massachusetts",68772,4320
1500000US250010129001,250010129001,"Block Group 1, Census Tract 129, Barnstable County, Massachusetts",75417,11086
1500000US250010129002,250010129002,"Block Group 2, Census Tract 129, Barnstable County, Massachusetts",74844,12470
1500000US250010129003,250010129003,"Block Group 3, Census Tract 129, Barnstable County, Massachusetts",77311,10783
1500000US250010130021,250010130021,"Block Group 1, Census Tract 130.02, Barnstable County, Massachusetts",123750,99681
1500000US250010130022,250010130022,"Block Group 2, Census Tract 130.02, Barnstable County, Massachusetts",68417,30340
1500000US250010130023,250010130023,"Block Group 3, Census Tract 130.02, Barnstable County, Massachusetts",87604,14098
1500000US250010130024,250010130024,"Block Group 4, Census Tract 130.02, Barnstable County, Massachusetts",62500,9409
1500000US250010131001,250010131001,"Block Group 1, Census Tract 131, Barnstable County, Massachusetts",51283,15748
1500000US250010131002,250010131002,"Block Group 2, Census Tract 131, Barnstable County, Massachusetts",69805,25013
1500000US250010131003,250010131003,"Block Group 3, Census Tract 131, Barnstable County, Massachusetts",105588,54904
1500000US250010131004,250010131004,"Block Group 4, Census Tract 131, Barnstable County, Massachusetts",87125,16165
1500000US250010132001,250010132001,"Block Group 1, Census Tract 132, Barnstable County, Massachusetts",82850,31928
1500000US250010132002,250010132002,"Block Group 2, Census Tract 132, Barnstable County, Massachusetts",66000,23215
1500000US250010132003,250010132003,"Block Group 3, Census Tract 132, Barnstable County, Massachusetts",76083,49074
1500000US250010133001,250010133001,"Block Group 1, Census Tract 133, Barnstable County, Massachusetts",53250,24937
1500000US250010133002,250010133002,"Block Group 2, Census Tract 133, Barnstable County, Massachusetts",90733,31052
1500000US250010133003,250010133003,"Block Group 3, Census Tract 133, Barnstable County, Massachusetts",89896,54631
1500000US250010134001,250010134001,"Block Group 1, Census Tract 134, Barnstable County, Massachusetts",57000,22830
1500000US250010134002,250010134002,"Block Group 2, Census Tract 134, Barnstable County, Massachusetts",95500,31098
1500000US250010134003,250010134003,"Block Group 3, Census Tract 134, Barnstable County, Massachusetts",103385,9465
1500000US250010134004,250010134004,"Block Group 4, Census Tract 134, Barnstable County, Massachusetts",90972,20610
1500000US250010135001,250010135001,"Block Group 1, Census Tract 135, Barnstable County, Massachusetts",110729,27667
1500000US250010135002,250010135002,"Block Group 2, Census Tract 135, Barnstable County, Massachusetts",74707,37910
1500000US250010135003,250010135003,"Block Group 3, Census Tract 135, Barnstable County, Massachusetts",87975,17714
1500000US250010135004,250010135004,"Block Group 4, Census Tract 135, Barnstable County, Massachusetts",125806,39494
1500000US250010136001,250010136001,"Block Group 1, Census Tract 136, Barnstable County, Massachusetts",72404,47197
1500000US250010136002,250010136002,"Block Group 2, Census Tract 136, Barnstable County, Massachusetts",89779,19340
1500000US250010136003,250010136003,"Block Group 3, Census Tract 136, Barnstable County, Massachusetts",95875,11653
1500000US250010137001,250010137001,"Block Group 1, Census Tract 137, Barnstable County, Massachusetts",76250,30057
1500000US250010137002,250010137002,"Block Group 2, Census Tract 137, Barnstable County, Massachusetts",64196,31430
1500000US250010137003,250010137003,"Block Group 3, Census Tract 137, Barnstable County, Massachusetts",72625,21326
1500000US250010137004,250010137004,"Block Group 4, Census Tract 137, Barnstable County, Massachusetts",77500,32254
1500000US250010138001,250010138001,"Block Group 1, Census Tract 138, Barnstable County, Massachusetts",79830,10569
1500000US250010138002,250010138002,"Block Group 2, Census Tract 138, Barnstable County, Massachusetts",73831,33890
1500000US250010138003,250010138003,"Block Group 3, Census Tract 138, Barnstable County, Massachusetts",82802,51775
1500000US250010139001,250010139001,"Block Group 1, Census Tract 139, Barnstable County, Massachusetts",38750,16786
1500000US250010139002,250010139002,"Block Group 2, Census Tract 139, Barnstable County, Massachusetts",89934,19329
1500000US250010139003,250010139003,"Block Group 3, Census Tract 139, Barnstable County, Massachusetts",66490,20083
1500000US250010139004,250010139004,"Block Group 4, Census Tract 139, Barnstable County, Massachusetts",79773,47071
1500000US250010140021,250010140021,"Block Group 1, Census Tract 140.02, Barnstable County, Massachusetts",74375,8255
1500000US250010140022,250010140022,"Block Group 2, Census Tract 140.02, Barnstable County, Massachusetts",62500,16805
1500000US250010140023,250010140023,"Block Group 3, Census Tract 140.02, Barnstable County, Massachusetts",29914,8374
1500000US250010140024,250010140024,"Block Group 4, Census Tract 140.02, Barnstable County, Massachusetts",89151,18020
1500000US250010141001,250010141001,"Block Group 1, Census Tract 141, Barnstable County, Massachusetts",48750,10146
1500000US250010143001,250010143001,"Block Group 1, Census Tract 143, Barnstable County, Massachusetts",66875,15327
1500000US250010143002,250010143002,"Block Group 2, Census Tract 143, Barnstable County, Massachusetts",90702,28915
1500000US250010143003,250010143003,"Block Group 3, Census Tract 143, Barnstable County, Massachusetts",133075,23780
1500000US250010143004,250010143004,"Block Group 4, Census Tract 143, Barnstable County, Massachusetts",105862,28074
1500000US250010143005,250010143005,"Block Group 5, Census Tract 143, Barnstable County, Massachusetts",61161,51707
1500000US250010144021,250010144021,"Block Group 1, Census Tract 144.02, Barnstable County, Massachusetts",98382,15885
1500000US250010144022,250010144022,"Block Group 2, Census Tract 144.02, Barnstable County, Massachusetts",85043,21678
1500000US250010144023,250010144023,"Block Group 3, Census Tract 144.02, Barnstable County, Massachusetts",87788,29757
1500000US250010145001,250010145001,"Block Group 1, Census Tract 145, Barnstable County, Massachusetts",63194,19216
1500000US250010145002,250010145002,"Block Group 2, Census Tract 145, Barnstable County, Massachusetts",74737,28673
1500000US250010145003,250010145003,"Block Group 3, Census Tract 145, Barnstable County, Massachusetts",59107,41715
1500000US250010146001,250010146001,"Block Group 1, Census Tract 146, Barnstable County, Massachusetts",84706,17371
1500000US250010146002,250010146002,"Block Group 2, Census Tract 146, Barnstable County, Massachusetts",57898,10971
1500000US250010146003,250010146003,"Block Group 3, Census Tract 146, Barnstable County, Massachusetts",48917,29193
1500000US250010146004,250010146004,"Block Group 4, Census Tract 146, Barnstable County, Massachusetts",70417,21836
1500000US250010147001,250010147001,"Block Group 1, Census Tract 147, Barnstable County, Massachusetts",66250,30426
1500000US250010147002,250010147002,"Block Group 2, Census Tract 147, Barnstable County, Massachusetts",57692,19775
1500000US250010147003,250010147003,"Block Group 3, Census Tract 147, Barnstable County, Massachusetts",54559,5464
1500000US250010148001,250010148001,"Block Group 1, Census Tract 148, Barnstable County, Massachusetts",21786,5105
1500000US250010148002,250010148002,"Block Group 2, Census Tract 148, Barnstable County, Massachusetts",66111,15951
1500000US250010148003,250010148003,"Block Group 3, Census Tract 148, Barnstable County, Massachusetts",28963,8792
1500000US250010148004,250010148004,"Block Group 4, Census Tract 148, Barnstable County, Massachusetts",76827,17902
1500000US250010149001,250010149001,"Block Group 1, Census Tract 149, Barnstable County, Massachusetts",86625,74865
1500000US250010149002,250010149002,"Block Group 2, Census Tract 149, Barnstable County, Massachusetts",94336,5520
1500000US250010149003,250010149003,"Block Group 3, Census Tract 149, Barnstable County, Massachusetts",37670,10661
1500000US250010149004,250010149004,"Block Group 4, Census Tract 149, Barnstable County, Massachusetts",94722,18161
1500000US250010150011,250010150011,"Block Group 1, Census Tract 150.01, Barnstable County, Massachusetts",64495,12429
1500000US250010150012,250010150012,"Block Group 2, Census Tract 150.01, Barnstable County, Massachusetts",85405,6133
1500000US250010150021,250010150021,"Block Group 1, Census Tract 150.02, Barnstable County, Massachusetts",57344,15431
1500000US250010150022,250010150022,"Block Group 2, Census Tract 150.02, Barnstable County, Massachusetts",79485,15585
1500000US250010151001,250010151001,"Block Group 1, Census Tract 151, Barnstable County, Massachusetts",78100,14960
1500000US250010151002,250010151002,"Block Group 2, Census Tract 151, Barnstable County, Massachusetts",82750,22827
1500000US250010152001,250010152001,"Block Group 1, Census Tract 152, Barnstable County, Massachusetts",86964,34347
1500000US250010152002,250010152002,"Block Group 2, Census Tract 152, Barnstable County, Massachusetts",86071,32323
1500000US250010153001,250010153001,"Block Group 1, Census Tract 153, Barnstable County, Massachusetts",49740,38246
1500000US250010153002,250010153002,"Block Group 2, Census Tract 153, Barnstable County, Massachusetts",23558,8286
1500000US250010153003,250010153003,"Block Group 3, Census Tract 153, Barnstable County, Massachusetts",30865,8446
1500000US250019900000,250019900000,"Block Group 0, Census Tract 9900, Barnstable County, Massachusetts",-,**
1500000US250039001001,250039001001,"Block Group 1, Census Tract 9001, Berkshire County, Massachusetts",24868,3059
1500000US250039001002,250039001002,"Block Group 2, Census Tract 9001, Berkshire County, Massachusetts",16383,1867
1500000US250039001003,250039001003,"Block Group 3, Census Tract 9001, Berkshire County, Massachusetts",27303,10989
1500000US250039001004,250039001004,"Block Group 4, Census Tract 9001, Berkshire County, Massachusetts",26157,6753
1500000US250039002001,250039002001,"Block Group 1, Census Tract 9002, Berkshire County, Massachusetts",35795,10943
1500000US250039002002,250039002002,"Block Group 2, Census Tract 9002, Berkshire County, Massachusetts",21944,15865
1500000US250039002003,250039002003,"Block Group 3, Census Tract 9002, Berkshire County, Massachusetts",21080,3315
1500000US250039002004,250039002004,"Block Group 4, Census Tract 9002, Berkshire County, Massachusetts",-,**
1500000US250039002005,250039002005,"Block Group 5, Census Tract 9002, Berkshire County, Massachusetts",45625,32950
1500000US250039002006,250039002006,"Block Group 6, Census Tract 9002, Berkshire County, Massachusetts",32480,21878
1500000US250039003001,250039003001,"Block Group 1, Census Tract 9003, Berkshire County, Massachusetts",36208,14180
1500000US250039003002,250039003002,"Block Group 2, Census Tract 9003, Berkshire County, Massachusetts",41528,33231
1500000US250039003003,250039003003,"Block Group 3, Census Tract 9003, Berkshire County, Massachusetts",55375,17763
1500000US250039004001,250039004001,"Block Group 1, Census Tract 9004, Berkshire County, Massachusetts",52111,13139
1500000US250039004002,250039004002,"Block Group 2, Census Tract 9004, Berkshire County, Massachusetts",-,**
1500000US250039004003,250039004003,"Block Group 3, Census Tract 9004, Berkshire County, Massachusetts",54050,17537
1500000US250039004004,250039004004,"Block Group 4, Census Tract 9004, Berkshire County, Massachusetts",61635,18409
1500000US250039004005,250039004005,"Block Group 5, Census Tract 9004, Berkshire County, Massachusetts",30208,18324
1500000US250039005001,250039005001,"Block Group 1, Census Tract 9005, Berkshire County, Massachusetts",85603,23693
1500000US250039005002,250039005002,"Block Group 2, Census Tract 9005, Berkshire County, Massachusetts",78194,11789
1500000US250039006001,250039006001,"Block Group 1, Census Tract 9006, Berkshire County, Massachusetts",49097,11389
1500000US250039006002,250039006002,"Block Group 2, Census Tract 9006, Berkshire County, Massachusetts",19538,16219
1500000US250039006003,250039006003,"Block Group 3, Census Tract 9006, Berkshire County, Massachusetts",11944,11562
1500000US250039006004,250039006004,"Block Group 4, Census Tract 9006, Berkshire County, Massachusetts",14713,7016
1500000US250039006005,250039006005,"Block Group 5, Census Tract 9006, Berkshire County, Massachusetts",29648,12983
1500000US250039007001,250039007001,"Block Group 1, Census Tract 9007, Berkshire County, Massachusetts",42273,31700
1500000US250039007002,250039007002,"Block Group 2, Census Tract 9007, Berkshire County, Massachusetts",62500,12131
1500000US250039007003,250039007003,"Block Group 3, Census Tract 9007, Berkshire County, Massachusetts",61591,39190
1500000US250039007004,250039007004,"Block Group 4, Census Tract 9007, Berkshire County, Massachusetts",61528,28338
1500000US250039008001,250039008001,"Block Group 1, Census Tract 9008, Berkshire County, Massachusetts",104643,35325
1500000US250039008002,250039008002,"Block Group 2, Census Tract 9008, Berkshire County, Massachusetts",92292,79573
1500000US250039008003,250039008003,"Block Group 3, Census Tract 9008, Berkshire County, Massachusetts",86771,70478
1500000US250039008004,250039008004,"Block Group 4, Census Tract 9008, Berkshire County, Massachusetts",66641,15568
1500000US250039008005,250039008005,"Block Group 5, Census Tract 9008, Berkshire County, Massachusetts",63472,19727
1500000US250039009001,250039009001,"Block Group 1, Census Tract 9009, Berkshire County, Massachusetts",99297,42857
1500000US250039009002,250039009002,"Block Group 2, Census Tract 9009, Berkshire County, Massachusetts",48100,16827
1500000US250039009003,250039009003,"Block Group 3, Census Tract 9009, Berkshire County, Massachusetts",37917,5842
1500000US250039009004,250039009004,"Block Group 4, Census Tract 9009, Berkshire County, Massachusetts",81458,30001
1500000US250039009005,250039009005,"Block Group 5, Census Tract 9009, Berkshire County, Massachusetts",85538,21599
1500000US250039011001,250039011001,"Block Group 1, Census Tract 9011, Berkshire County, Massachusetts",49271,11294
1500000US250039011002,250039011002,"Block Group 2, Census Tract 9011, Berkshire County, Massachusetts",67763,13424
1500000US250039011003,250039011003,"Block Group 3, Census Tract 9011, Berkshire County, Massachusetts",92639,30237
1500000US250039011004,250039011004,"Block Group 4, Census Tract 9011, Berkshire County, Massachusetts",42882,10399
1500000US250039111001,250039111001,"Block Group 1, Census Tract 9111, Berkshire County, Massachusetts",85658,16748
1500000US250039111002,250039111002,"Block Group 2, Census Tract 9111, Berkshire County, Massachusetts",79022,24407
1500000US250039111003,250039111003,"Block Group 3, Census Tract 9111, Berkshire County, Massachusetts",70183,38272
1500000US250039121001,250039121001,"Block Group 1, Census Tract 9121, Berkshire County, Massachusetts",70268,11796
1500000US250039121002,250039121002,"Block Group 2, Census Tract 9121, Berkshire County, Massachusetts",48072,8892
1500000US250039121003,250039121003,"Block Group 3, Census Tract 9121, Berkshire County, Massachusetts",46446,25330
1500000US250039121004,250039121004,"Block Group 4, Census Tract 9121, Berkshire County, Massachusetts",32366,6820
1500000US250039121005,250039121005,"Block Group 5, Census Tract 9121, Berkshire County, Massachusetts",59438,18174
1500000US250039121006,250039121006,"Block Group 6, Census Tract 9121, Berkshire County, Massachusetts",80139,33362
1500000US250039121007,250039121007,"Block Group 7, Census Tract 9121, Berkshire County, Massachusetts",70954,9349
1500000US250039131001,250039131001,"Block Group 1, Census Tract 9131, Berkshire County, Massachusetts",-,**
1500000US250039131002,250039131002,"Block Group 2, Census Tract 9131, Berkshire County, Massachusetts",70662,59145
1500000US250039131003,250039131003,"Block Group 3, Census Tract 9131, Berkshire County, Massachusetts",75625,20921
1500000US250039131004,250039131004,"Block Group 4, Census Tract 9131, Berkshire County, Massachusetts",-,**
1500000US250039131005,250039131005,"Block Group 5, Census Tract 9131, Berkshire County, Massachusetts",51346,7137
1500000US250039131006,250039131006,"Block Group 6, Census Tract 9131, Berkshire County, Massachusetts",-,**
1500000US250039131007,250039131007,"Block Group 7, Census Tract 9131, Berkshire County, Massachusetts",94688,29591
1500000US250039141001,250039141001,"Block Group 1, Census Tract 9141, Berkshire County, Massachusetts",88750,18669
1500000US250039141002,250039141002,"Block Group 2, Census Tract 9141, Berkshire County, Massachusetts",64688,32465
1500000US250039141003,250039141003,"Block Group 3, Census Tract 9141, Berkshire County, Massachusetts",34934,5901
1500000US250039141004,250039141004,"Block Group 4, Census Tract 9141, Berkshire County, Massachusetts",76607,20227
1500000US250039141005,250039141005,"Block Group 5, Census Tract 9141, Berkshire County, Massachusetts",89297,30637
1500000US250039141006,250039141006,"Block Group 6, Census Tract 9141, Berkshire County, Massachusetts",99231,68039
1500000US250039201011,250039201011,"Block Group 1, Census Tract 9201.01, Berkshire County, Massachusetts",75972,20688
1500000US250039201012,250039201012,"Block Group 2, Census Tract 9201.01, Berkshire County, Massachusetts",91786,27945
1500000US250039201013,250039201013,"Block Group 3, Census Tract 9201.01, Berkshire County, Massachusetts",89821,71104
1500000US250039201014,250039201014,"Block Group 4, Census Tract 9201.01, Berkshire County, Massachusetts",53750,36455
1500000US250039201021,250039201021,"Block Group 1, Census Tract 9201.02, Berkshire County, Massachusetts",39773,28938
1500000US250039201022,250039201022,"Block Group 2, Census Tract 9201.02, Berkshire County, Massachusetts",90481,25182
1500000US250039201023,250039201023,"Block Group 3, Census Tract 9201.02, Berkshire County, Massachusetts",91250,15644
1500000US250039213001,250039213001,"Block Group 1, Census Tract 9213, Berkshire County, Massachusetts",29797,3298
1500000US250039213002,250039213002,"Block Group 2, Census Tract 9213, Berkshire County, Massachusetts",27410,24441
1500000US250039213003,250039213003,"Block Group 3, Census Tract 9213, Berkshire County, Massachusetts",18963,14009
